Bankleitzahl;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC
10000000;Bundesbank;10591;Berlin;BBk Berlin;20100;MARKDEF1100
10010010;Postbank Ndl der DB Privat- und Firmenkundenbank;10559;Berlin;Postbank Ndl DB PFK;10010;PBNKDEFFXXX
10010424;Aareal Bank;10666;Berlin;Aareal Bank;26910;AARBDE5W100
10011001;N26 Bank;10179;Berlin;N26 Bank Berlin;;NTSBDEB1XXX
10017997;Holvi Payment Services Zweigniederlassung Deutschland;12059;Berlin;Holvi - Berlin;;HOLVDEB1XXX
10019610;Landesbank Hessen-Thüringen Girozentrale;60311;Frankfurt am Main;Helaba, Berlin;;DXIADEBBXXX
10019670;Landesbank Hessen-Thüringen Giroz - Deckung Pfandbriefbank;10969;Berlin;Helaba Deckung, Berlin;;DXIADEB2COV
10020200;BHF-BANK;10117;Berlin;BHF-BANK Berlin;25155;BHFBDEFF100
10020500;Bank für Sozialwirtschaft;10178;Berlin;Bank für Sozialwirtschaft;25013;BFSWDE33BER
10020510;Bank für Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER
10020520;Bank für Sozialwirtschaft;10178;Berlin;Sozialbank Berlin;;BFSWDE33BER
10020890;UniCredit Bank - HypoVereinsbank;10896;Berlin;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;14532;Kleinmachnow;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;16515;Oranienburg;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;14776;Brandenburg an der Havel;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;15711;Königs Wusterhausen;UniCredit Bank-HypoVereinbk;22014;HYVEDEMM488
10030200;Berlin Hyp;10787;Berlin;Berlin Hyp;26706;BHYPDEB2XXX
10030400;ABK Allgemeine Beamten Bank;10115;Berlin;ABK Bank Berlin;25686;ABKBDEB1XXX
10030500;M.M. Warburg & Co (vormals Bankhaus Löbbecke);20095;Hamburg;M.M. Warburg (Löbbecke);26225;LOEBDEBBXXX
10030600;North Channel Bank;55118;Mainz;North Channel Bank Mainz;26205;GENODEF1OGK
10030700;Eurocity Bank;60311;Frankfurt am Main;Eurocity Bank;26535;DLGHDEB1XXX
10030730;Eurocity Bank Gf GAA;60311;Frankfurt am Main;Eurocity Bank Gf GAA;;DLGHDEB1XXX
10031000;EIS Einlagensicherungsbank;10178;Berlin;EIS Bank Berlin;;EIEGDEB1XXX
10033300;Santander Consumer Bank;10439;Berlin;Santander Bank Berlin;29411;SCFBDE33XXX
10040000;Commerzbank, Filiale Berlin 1;10891;Berlin;Commerzbank Fil. Berlin 1;24100;COBADEBBXXX
10040005;Commerzbank, Filiale Berlin 3;10891;Berlin;Commerzbank Fil. Berlin 3;24001;COBADEBBXXX
10040010;Commerzbank, CC SP;10877;Berlin;Commerzbank CC SP, Berlin;;COBADEFFXXX
10040048;Commerzbank GF-B48;10891;Berlin;Commerzbank BER GF-B48;24148;COBADEFFXXX
10040060;Commerzbank Gf 160;10891;Berlin;Commerzbank Gf 160 Berlin;24101;COBADEFFXXX
10040061;Commerzbank Gf 161;10891;Berlin;Commerzbank Gf 161 Berlin;24102;COBADEFFXXX
10040062;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX
10040063;Commerzbank CC;10783;Berlin;Commerzbank CC Berlin;;COBADEFFXXX
10040085;Commerzbank, Gf Web-K;10877;Berlin;Commerzbank Gf WK, Berlin;;COBADEFFXXX
10045050;Commerzbank Service-BZ;10785;Berlin;Commerzbank Service-BZ;;COBADEFFXXX
10050000;Landesbank Berlin - Berliner Sparkasse;10889;Berlin;LBB - Berliner Sparkasse;51000;BELADEBEXXX
10050020;LBB S-Kreditpartner, Berlin;10715;Berlin;LBB S-Kreditpartner, Berlin;;SKPADEB1XXX
10050500;LBS Ost Berlin;10405;Berlin;LBS Ost Berlin;;LBSODEB1BLN
10050999;DekaBank;60040;Frankfurt am Main;DekaBank;;DGZFDEFFBER
10060198;Pax-Bank;14005;Berlin;Pax-Bank Berlin;61335;GENODED1PA6
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;10117;Berlin;KD-Bank Berlin;;GENODED1KDB
10070000;Deutsche Bank Fil Berlin;10883;Berlin;Deutsche Bank Fil Berlin;27060;DEUTDEBBXXX
10070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;10883;Berlin;DB PFK (Deutsche Bank PGK);21060;DEUTDEDBBER
10070100;Deutsche Bank Fil Berlin II;10883;Berlin;Deutsche Bank Fil Berlin II;27701;DEUTDEBB101
10070124;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) Berlin;10883;Berlin;DB PFK (Deutsche Bank PGK);21701;DEUTDEDB101
10070848;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 848;10623;Berlin;DB PFK (Deutsche Bank PGK);21848;DEUTDEDB110
10077777;norisbank;10625;Berlin;norisbank Berlin;21431;NORSDE51XXX
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;10877;Berlin;Commerzbank Fil I Berlin;28100;DRESDEFF100
