hersteller;name;typnr;kw;kraftstoff;anzahl
Alpina;B3 Biturbo;ABK;301;b;195
Alpina;B4 Biturbo;ABQ;301;b;100
Alpina;B4 Biturbo;ABR;301;b;103
Alpina;B5 Biturbo;ACK;447;b;178
Alpina;D3 Biturbo;AAI;157;d;259
Alpina;D3 Biturbo;ABO;257;d;355
Alpina;D5 Biturbo;ABA;257;d;106
Alpina;D5 Biturbo;ABB;257;d;170
Alpina;Xd3 Biturbo;ABL;257;d;427
Audi;Au 1000 S;339;37;b;297
Audi;Au 1000 Sp.;328;40;b;190
Audi;Allroad;736;184;b;1224
Audi;Allroad;795;220;b;152
Audi;Allroad;831;120;d;211
Audi;A2;733;45;d;2034
Audi;A2;734;55;b;31543
Audi;A2;735;55;d;11353
Audi;A2;794;81;b;3895
Audi;A2;840;66;d;2733
Audi;A3;AAV;125;d;1819
Audi;A3;AAW;125;d;6910
Audi;A3;AFT;118;b;5224
Audi;A3;AGL;92;b;4371
Audi;A3;AHV;77;d;5862
Audi;A3;828;75;b;24529
Audi;A3;835;103;d;16323
Audi;A4;AAT;103;d;1498
Audi;A4;AFJ;125;d;7186
Audi;A4;AFK;125;d;522
Audi;A4;AFL;125;d;2217
Audi;A4;AFM;125;d;132
Audi;A4;AFW;125;b;475
Audi;A4;AGO;118;b;12315
Audi;A4;AGQ;195;b;813
Audi;A4;AGS;140;d;2488
Audi;A4;AGT;176;d;1098
Audi;A4;AGX;125;d;1250
Audi;A4;AGZ;118;b;17612
Audi;A4;AHC;125;d;8777
Audi;A4;AHJ;125;d;294
Audi;A4;AHK;132;b;2180
Audi;A4;AHO;140;d;8192
Audi;A4;AHP;132;b;5535
Audi;A4;AHS;195;b;909
Audi;A4;AIR;118;b;274
Audi;A4;AIS;118;b;590
Audi;A4 Cabriolet;AAJ;171;d;2217
Audi;A4 Cabriolet;AAK;188;b;186
Audi;A4 Cabriolet;AAL;188;b;714
Audi;A4 Cabriolet;AAN;103;d;2192
Audi;A4 Cabriolet;AAP;147;b;2522
Audi;A4 Cabriolet;AEW;120;b;4938
Audi;A4 Cabriolet;AFG;132;d;691
Audi;A4;748;96;b;30765
Audi;A4;749;162;b;756
Audi;A4;750;162;b;904
Audi;A4;751;96;d;6599
Audi;A4;752;132;d;781
Audi;A4;776;162;b;526
Audi;A4;777;162;b;1396
Audi;A4;782;96;d;179
Audi;A4;784;125;b;2147
Audi;A4;785;125;b;2724
Audi;A4;796;110;b;1076
Audi;A4;797;110;b;1563
Audi;A4;804;120;d;1142
Audi;A4;808;120;b;4294
Audi;A4;809;120;b;7674
Audi;A4;810;120;b;430
Audi;A4;811;120;b;1138
Audi;A4;823;140;b;129
Audi;A4;861;103;d;1418
Audi;A4;862;103;d;7759
Audi;A5;AGD;195;b;358
Audi;A5;AGE;195;b;1329
Audi;A5;AGF;140;d;2855
Audi;A5;AGG;176;d;6160
Audi;A5;AGK;125;d;611
Audi;A5;AIM;125;d;182
Audi;A5;AIQ;132;b;3201
Audi;A5;AKM;195;b;247
Audi;A5;AKN;140;d;2178
Audi;A5;AKO;176;d;3559
Audi;A5;AKP;125;d;2352
Audi;A5;AKR;118;b;615
Audi;A5;ALD;132;b;3492
Audi;A5;ALF;125;d;647
Audi;A5;ALM;118;b;681
Audi;A5 Cabriolet;AJY;132;b;1020
Audi;A5 Cabriolet;AKB;195;b;112
Audi;A5 Cabriolet;AKC;195;b;212
Audi;A5 Cabriolet;AKD;140;d;765
Audi;A5 Cabriolet;AKE;176;d;2788
Audi;A5 Cabriolet;AKS;125;d;828
Audi;A5 Cabriolet;ALC;118;b;1134
Audi;A6;AAQ;257;b;206
Audi;A6;AAS;171;d;3560
Audi;A6;AFX;154;b;479
Audi;A6;AFY;154;b;772
Audi;A6;AGI;154;b;216
Audi;A6;AJA;162;b;177
Audi;A6;AJB;162;b;195
Audi;A6;AJC;162;b;208
Audi;A6;AJD;162;b;337
Audi;A6;AJE;140;b;792
Audi;A6;AJG;140;b;1165
Audi;A6;AJH;140;b;286
Audi;A6;AJI;176;d;2537
Audi;A6;AJK;140;d;1841
Audi;A6;AJL;140;d;922
Audi;A6;AJM;140;d;8941
Audi;A6;AJO;125;d;1544
Audi;A6;AJP;125;d;8067
Audi;A6;AJQ;213;b;653
Audi;A6;504;74;b;1311
Audi;A6;505;98;b;3302
Audi;A6;507;128;b;1295
Audi;A6;513;85;b;1828
Audi;A6;517;85;d;361
Audi;A6;552;110;b;4458
Audi;A6;589;103;d;207
Audi;A6;610;92;b;626
Audi;A6;614;142;b;106
Audi;A6;649;110;d;145
Audi;A6;654;121;b;967
Audi;A6;656;142;b;1023
Audi;A6;681;110;d;706
Audi;A6;687;121;b;1028
Audi;A6;691;142;b;1577
Audi;A6 Avant;525;98;b;495
Audi;A6 Avant;527;128;b;359
Audi;A6 Avant;530;85;d;430
Audi;A6 Avant;531;85;b;508
